image,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48
Eric Montoya.jpg,11.347767,0.0802936,18.773151,6.196773,11.227515,43.21078,27.11682,3.1101184,7.5003595,3.8799558,19.453331,5.7069263,4.3981423,8.017976,5.8018675,7.5983753,0.73985636,10.415804,1.2578441,11.591469,22.427187,5.3242707,6.8924794,12.219074,5.9354963,-0.5638626,3.2464118,4.68465,10.54767,1.9169363,11.981933,5.3111916,5.4009647,6.8480515,4.343361,0.45071933,-2.9416587,1.9062291,-1.7276609,0.48334655,-0.0076688826,7.3474193,2.8107312,7.379589,-0.6201928,5.0987673,6.132718,5.4120154,0.92843735
Eric Montoya_c.png,1.8199112,6.9816737,69.47188,8.180204,0.66665083,3.2083209,13.128209,13.665944,4.234301,13.993231,3.1980839,7.774076,6.6027246,6.661892,-6.0666294,1.7283906,1.51926,5.6161265,0.3338268,-2.6954298,12.039818,3.7712426,-3.3250122,1.4920037,2.065881,-2.2460325,9.505166,4.334684,10.579792,1.1172723,-1.8811997,-0.57747674,3.8342454,-2.125472,7.4272895,1.1828731,3.7889333,4.255306,1.6403652,-1.8696563,2.9495838,4.951839,2.942808,0.933865,6.233246,-0.3400306,1.100159,1.9333528,-0.27986133
apple.png,7.0495186,53.414993,3.7038379,-3.4623373,1.9153554,22.336824,1.6674027,-2.39251,7.8387446,16.982819,5.514665,3.0130541,7.6658306,0.61711305,11.805359,1.7760482,-1.2633287,14.665121,9.954357,0.92061687,6.173262,0.30146968,7.782523,3.0523944,1.1419412,2.2382114,2.5007508,-0.7751268,3.8901854,14.486495,4.1277514,-0.098635815,-0.23373005,5.6238356,5.832459,3.3395834,1.1657811,3.68376,-4.299634,-1.2375015,12.025377,3.64047,1.3921281,4.7622137,2.0330346,3.3573017,-0.8927074,0.1544529,3.0111685
apple_c.png,1.3862677,13.712713,15.572516,15.454687,5.186781,4.0690584,-3.6019907,5.155314,-3.7012696,41.20109,15.496172,13.188532,0.5003573,7.248874,0.71079105,-0.19674003,-1.3295984,9.586211,4.0296903,3.3029814,6.239513,-4.3943977,13.9807205,18.146946,7.0494018,8.269795,0.9541038,1.9427199,5.4119477,-1.5360782,3.4178495,1.7397981,-3.4097958,1.095537,2.2524934,1.4688753,12.114577,2.3121195,-8.285758,1.137095,18.163752,0.66763663,1.0797985,5.1316104,3.3226788,0.52258503,4.0953193,0.50434244,3.9364815
cat.png,2.556038,-0.68339074,73.63979,-2.1869545,0.8560376,7.624731,6.3846083,3.753695,3.8279436,12.120856,6.1232834,13.458183,0.9584943,2.0701234,-1.7382658,0.19494556,1.2573043,0.31698352,1.2134686,-0.3790576,2.7912946,1.2027466,-3.7562497,1.6064647,-3.9347079,5.4570236,7.470445,-1.257881,13.668652,1.8011533,4.4209723,1.5533139,0.84852594,-1.9401435,7.8360634,0.8974864,0.26195163,0.9170726,-4.2076235,-1.296862,7.050202,3.5438783,-0.90981936,-0.8015219,-0.54991543,-0.05087424,1.1445787,0.43789345,-4.6092024
cat_c.png,0.4839142,5.842118,65.313576,6.425599,-1.8344812,2.6997094,13.037668,2.87148,2.907998,8.516115,6.116175,14.277909,-0.6004088,2.456336,1.9533114,0.27881065,0.85823333,4.3002734,1.4192157,2.0190878,6.459113,5.908574,-0.06373543,1.7113686,-4.810697,2.796649,7.430123,1.1082809,12.260269,0.26239622,6.689456,2.145403,4.8061404,2.1851757,7.492456,2.4749353,2.0703797,4.8196616,-4.271096,3.5656168,4.1492476,2.5880485,0.8639773,3.2175171,5.6395693,0.80547833,4.3906054,2.9607308,0.02762694
climb.png,-0.474428,2.981476,25.933807,-1.1326137,-1.2582114,17.763176,10.704782,2.582331,3.9963648,27.211914,9.830538,21.528551,-0.032176543,8.330573,8.32757,2.6038249,-2.5409853,10.46367,-0.6128259,4.43691,9.0011635,6.5992327,-2.8769011,10.522324,-0.14648177,3.3485148,0.32474583,9.734887,6.2386446,8.962708,0.62936175,3.2664742,-3.2020767,-1.2478352,3.177064,-5.0078073,4.690243,-0.43726945,-3.9191108,-0.103054196,21.297663,-2.5803885,-1.2061003,0.80403155,1.4269361,-0.11079502,2.656823,3.0702596,3.9505906
climb_c.png,10.296094,-2.4313452,26.694511,12.675956,-4.520723,1.18479,13.201852,7.384629,3.055942,37.15994,10.344141,34.901924,6.8343706,-0.17399937,3.2511077,7.761468,6.480756,5.778273,1.3767684,1.3372142,15.269888,10.650002,-2.5386662,3.6919832,-0.6499877,4.4611125,4.8325577,7.189147,14.582467,2.926794,4.966768,-0.046660192,1.3588133,-3.8440816,4.8335834,-1.0822605,4.920446,7.7532215,-2.5441208,0.3379399,16.737097,0.56611705,0.86728466,1.546138,1.5751551,-2.2604,4.8448358,1.6539954,1.7463882
dwarfs.png,6.340505,5.669157,32.282543,14.762507,-0.2643236,17.710949,29.124638,6.4012246,16.538975,24.911009,16.11274,21.112648,-0.42367008,9.022744,1.8304437,9.746895,0.26548895,7.859046,4.1182337,2.9795203,3.2347865,-2.0787914,5.1537848,-1.4194443,0.24595335,5.016116,5.566896,0.95697397,13.5221,3.791078,2.247754,-3.1231945,2.5125408,-0.6532555,6.2721753,-0.118685424,1.5746418,4.1488314,-1.0041363,2.4205134,8.5203495,1.8986905,1.9005094,1.4843532,7.2556243,-0.6598271,0.9941578,3.2623808,-1.8797077
dwarfs_c.png,11.05203,4.6667123,18.462246,16.939936,1.0224142,9.713489,20.755547,10.172968,6.5581055,22.071625,9.309093,24.745075,-1.4109669,0.108221546,3.869868,7.15964,2.0191913,6.1813455,2.4788582,3.6315665,8.5375595,4.624321,4.910024,7.4446144,-4.533109,6.5765305,9.165425,1.8684165,10.914801,0.45168298,4.151262,-2.6863995,7.3028164,-2.487789,8.394791,1.8610336,0.47733113,7.7881823,-1.9477711,5.724494,1.4785585,0.9657747,1.8727415,0.7497782,5.1242466,-1.1386814,2.8108444,1.825073,-0.25460365
