image,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48
0.jpg,9.854597,3.7500768,25.294538,0.0,0.0,14.851186,10.177514,8.65948,0.0,3.169767,9.104048,10.064436,0.978399,5.155796,0.7830017,0.0,2.6977983,7.8983874,2.6739306,0.0,27.669844,8.618975,4.2646203,4.063965,5.894607,0.0,2.8187633,1.3669795,0.44551826,5.182223,3.3039303,0.0,0.0,0.0,29.324781,6.4931803,4.5609174,1.7294848,2.270868,0.3767606,2.4548655,1.726152,2.6460345,0.57315826,0.0,2.083927,4.971343,0.50285023,3.1261034
1.jpg,18.965649,32.475235,1.752106,12.382608,1.1573794,12.299414,2.6423006,5.1215024,0.0,3.0444384,8.814006,8.442177,9.39837,16.136446,2.5542014,0.006521959,6.7306614,17.375519,29.04207,3.1008632,4.317411,1.5016867,0.0,0.0,2.7334049,4.4153123,5.787275,10.739342,5.23917,1.6733613,2.274225,6.440147,0.0,3.2955627,5.6494637,0.06015729,1.126278,0.0,2.3996298,3.012971,0.8131169,8.398844,0.0,5.6309214,0.54142374,2.6756954,5.6485524,1.0640463,5.306205
2.jpg,7.563369,3.2688372,5.4858193,17.229109,9.934209,4.4713798,0.0,14.03051,0.0,18.759548,13.106322,1.7407428,6.2012615,6.8295255,3.771922,7.84813,3.93809,11.166059,16.342894,0.0,10.868551,4.403375,1.8032713,9.235292,31.651693,11.88222,0.7173244,0.0,0.9091257,10.688895,4.1041474,4.7784986,4.339302,6.7204823,1.0404359,0.0,12.177487,4.5201697,0.0,0.5154052,13.9935465,1.7989901,0.096260056,4.1003013,2.7526152,10.23774,3.4026597,2.9953048,5.5398827
3.jpg,0.0,8.3724,7.3387012,19.034355,1.1808802,10.765493,1.6680619,5.33482,0.0,32.462463,12.856859,7.6586537,16.004362,8.837756,8.400885,0.0,1.035164,17.999361,1.6940942,3.7475302,5.510651,5.458617,5.6117187,11.607416,21.550962,11.284652,2.7156358,0.0,4.9605784,8.6187725,4.7829785,6.350523,8.556024,7.77303,0.0,1.8231057,9.637684,3.6622818,1.044624,7.3899584,19.769875,5.634566,1.957296,2.1708019,4.5478187,10.417099,6.0841417,2.9063826,6.9044614
4.jpg,29.611555,0.0,9.2895355,31.358887,4.9702735,0.0,1.9739853,15.929773,3.4319706,18.769972,0.0,2.2789361,17.833927,34.863113,11.080403,2.2121007,0.0,8.106056,0.0,6.649873,2.5972311,4.2579174,0.0,2.8746054,7.4420495,10.68925,7.3811097,3.2534952,6.802334,6.5055175,0.0,3.872107,16.021152,5.096008,0.84761083,0.0,20.789005,2.465604,0.0,0.0,8.255139,4.637569,2.9998786,3.545713,0.0,3.6296508,3.446861,0.0,3.3141587
5.jpg,28.61088,7.3051987,7.683914,34.075127,3.4329515,7.974777,0.0,11.223813,3.7555628,12.830004,7.2999187,2.8232203,8.92607,33.607258,3.8209145,5.216584,2.3172657,9.329781,0.0,0.0,5.413259,0.0,0.0,5.304652,4.4082923,9.2258215,3.7995582,2.9504714,5.0909,1.6008267,2.4313629,1.6731156,7.4877357,1.0393487,3.0918512,2.5030854,18.811945,0.0,0.0,0.0,8.304318,5.341413,0.0,4.827643,0.0,4.065637,1.8120215,0.0,0.0
6.jpg,11.696567,4.100079,12.85014,27.644793,0.0,0.0,9.536245,6.7973485,6.532097,35.841366,15.975237,1.6396575,0.0,41.63234,2.3306494,3.8555834,0.0,9.907124,1.2271134,9.828973,4.074395,0.0,0.0,3.313323,5.220269,5.352161,4.9394164,6.5146265,8.128992,6.0197268,2.6123905,0.13411921,0.4334189,1.3264418,2.0129397,6.909284,12.705475,0.0,1.8057932,0.0,5.6448503,11.056995,2.3128066,0.1926763,9.378598,0.0,3.0195181,0.0,0.0
7.jpg,16.167574,0.7339497,6.9292727,20.990036,0.0,6.369013,3.5037727,22.018644,2.2199562,6.3352084,11.833679,4.216183,14.314127,46.914867,10.826527,4.9146457,1.1967039,2.3760042,4.220537,1.958852,3.1476684,4.195501,15.802606,1.9118842,5.1829987,8.708906,10.407091,4.835949,5.877179,14.843763,0.0,0.0,0.0,0.0,3.029983,0.0,12.3123045,2.1304388,8.065968,12.114386,6.968677,1.0523975,0.0,3.680101,0.0,1.0641065,0.0,0.0,4.7140093
8.jpg,32.220943,2.1180193,2.1720104,6.158557,6.7438684,0.90657973,7.246633,66.1735,1.976442,3.1478133,3.1478844,4.459618,18.891815,11.629419,13.196468,3.3355784,2.7352805,9.77739,0.7564675,0.5515444,13.278246,1.7061673,5.4774456,0.0,1.7819798,1.3354309,0.8024751,0.0,4.240454,4.9238787,4.3698316,5.3202124,13.68844,2.42896,0.0,0.0,0.0,0.0,1.3975396,0.0,0.9110503,0.10328768,2.7943602,0.0,1.118498,0.0,2.9413204,1.3837165,2.7972517
9.jpg,8.964554,6.7526608,23.74073,23.813416,1.9821343,3.3064575,14.656767,21.88194,0.0,42.801834,9.32283,1.3823023,4.8734436,34.617836,1.8262401,2.5933526,0.0,4.7310786,1.6528875,0.0,5.26424,0.5995853,0.040601194,1.643154,6.6272626,5.3277116,4.1018276,2.579554,15.6678095,1.3339679,4.532511,0.0,3.5972862,0.0,0.0,1.3817174,12.1015,0.0,0.15899125,2.53509,5.894576,1.3996218,5.7028155,0.0,0.35600892,0.0,3.363037,0.0,0.0
