image,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48
0.jpg,0.35398287,-1.2433177,31.784885,10.261408,19.775087,8.156931,9.519137,-3.7813134,5.7965736,22.156391,26.163265,18.45008,0.7132708,9.891051,1.854839,1.0342568,4.260714,20.80757,7.54553,2.1164432,1.4512889,-10.806619,3.2438014,8.520574,0.99292684,0.7828122,0.34967047,4.8448215,0.5280379,2.2750263,-2.7758524,-0.8756947,0.030551292,-0.6488867,-0.19536875,3.0598698,-0.30158395,-0.23550689,-2.7469747,5.0365047,3.1264868,6.2020698,9.010718,5.865338,24.545668,5.6237917,3.5089633,4.8663044,0.85381514
1.jpg,5.5852485,7.473776,24.551891,14.779133,2.1648498,8.277808,3.2544777,26.62049,-2.812376,24.776571,10.17885,11.016152,5.6095786,14.97274,5.434573,11.442605,-3.2485173,7.048129,7.3447957,-1.0815234,6.983713,-1.2512399,17.130339,-0.13447623,0.117112786,4.1657915,7.807276,0.5783798,9.63966,12.709056,-6.446936,1.7554442,0.07474385,3.5603724,7.7647367,0.34895417,5.4202394,3.8961344,2.546601,10.155462,3.8305073,3.6142032,0.4009337,-0.5099293,9.881522,-2.610465,-0.10759346,-2.1031,-0.577914
2.jpg,-0.88527685,3.8880646,22.132769,28.321032,4.8701158,5.4154,13.168514,11.811692,4.0599327,28.99694,11.779855,10.748085,1.082783,20.213562,4.4115143,2.3787658,0.7600594,6.487736,1.0099018,6.275353,4.772981,-3.7926211,0.21114908,0.82848036,5.478679,1.6828723,-2.109724,3.6396842,4.081582,0.5207676,-3.645011,-5.2691965,4.6904206,-0.20653522,-0.74753964,0.86953044,4.434903,3.6844783,-0.72648,5.8179955,1.1047497,5.502411,6.5113196,7.9703374,15.920445,4.8827195,4.7070384,3.475792,4.99153
3.jpg,1.7848836,18.43802,20.148026,9.090244,-3.1470551,9.461031,12.846806,17.737484,-0.82932425,13.703236,20.131298,7.0770144,7.894887,17.58756,9.913306,-0.15874338,6.062483,9.416943,7.7585416,1.9899726,9.905825,-0.43480957,3.2879963,-3.9410818,2.5952823,3.3237405,-0.6027159,3.710174,11.317751,8.428404,-2.58575,-3.8874128,2.7129638,-0.70645714,4.6722436,1.7796516,-3.6901376,1.3186554,-2.696775,5.7055807,2.5568361,2.528866,1.0729132,1.6432729,12.666997,2.2129977,-3.2874093,0.22140141,0.34669155
4.jpg,11.918057,5.77847,10.967201,9.290064,7.378083,0.9409857,9.169972,-3.6742191,6.787695,22.62114,24.057987,10.07872,6.918429,48.673542,11.996815,1.2937552,4.7903204,10.176518,4.143653,0.16953927,1.6921676,-8.954084,4.2378435,-2.1304698,-0.18745027,-2.855559,-2.8247218,4.319463,7.4910903,14.601835,1.061332,1.6297258,3.808689,0.91389084,1.909355,-5.067415,3.3169575,0.47742677,0.37296712,1.4030019,2.910661,4.994967,3.3902507,1.4319817,15.245992,-1.9952159,8.8587265,1.8652211,0.26304984
5.jpg,-9.710511,28.80544,31.569752,12.2389145,1.2708323,35.762383,6.1753883,-3.6621788,2.5270169,32.531666,16.549284,14.328173,-0.97176266,3.0548325,-4.4536724,3.9438095,9.202701,5.1213403,14.685861,-1.3047434,4.8400292,-5.0476055,0.99193025,9.897712,-1.0761951,-0.98492473,-1.6442133,4.3506346,7.2398686,5.088542,5.815832,-5.308643,-2.7534995,-3.649744,3.0613413,-4.820436,2.1219895,0.7263517,-0.41514066,-0.76434034,4.819012,7.350715,5.916549,6.0931215,20.104784,-1.5866175,6.5230303,3.463775,1.6871727
6.jpg,2.0756521,7.854568,15.84034,19.893728,16.48816,9.407522,5.4691825,1.9109358,10.274296,26.199501,8.584049,23.514162,-7.251198,0.8221628,-0.3060176,8.271343,-2.1380303,1.0580142,7.9187856,7.2461734,-1.0304914,2.625738,1.8747654,16.1522,11.921229,0.1854741,6.4706697,3.8331788,1.0122348,-0.97695935,1.9556073,2.0604956,9.397437,2.0709205,2.4628992,-5.2476587,7.469715,4.641181,-4.7614784,2.9843938,2.8874986,0.5009297,6.3257465,-1.8315539,6.849342,12.466335,4.2309523,4.070096,-0.74265265
7.jpg,7.3983235,0.93598217,11.09046,21.061598,1.3238648,-4.7029567,9.675256,16.207237,7.089994,31.953558,11.412993,28.621996,2.9650156,6.3158197,1.9138916,4.275778,1.9530969,12.570686,5.7612553,8.735478,3.737949,1.6428847,-1.2416612,1.8873161,0.45621306,6.6588097,6.6197248,6.796294,11.197622,0.5477831,-3.965088,0.48770466,-0.8157844,1.5324798,2.2461255,3.4764874,-0.7361433,-0.7490717,-2.4231021,5.746137,3.0557272,6.517341,3.2673516,0.17229074,6.689522,5.471227,6.0198355,-0.1656971,2.0493054
8.jpg,13.610746,6.1004505,-4.888893,11.662472,14.0947075,8.957126,8.317845,3.6911943,1.2357314,9.850791,28.983614,16.913208,4.0608025,10.096229,5.560276,2.4487922,2.4911828,18.99325,15.082334,12.95299,4.709095,-3.110113,11.066051,2.7906823,4.673893,8.519212,-0.97381884,-0.33375314,8.198992,3.557757,0.36576843,10.901831,6.8127675,9.515642,-7.234579,-2.553319,2.4443681,2.796103,-2.0273395,1.4087824,1.2892596,4.7093253,-5.859999,2.8790102,1.0274489,-2.7882602,-1.997811,0.014810776,6.875021
9.jpg,5.9891295,6.463366,16.196682,32.394337,7.399314,4.204381,5.5356717,6.85829,9.568773,42.01872,10.192492,25.354967,-2.4636512,4.2156763,6.791567,-3.8008173,2.8993435,3.4081948,5.8829784,6.06169,4.513336,1.3172852,3.9792976,13.469829,9.9779825,6.7455916,-0.3852319,7.6092854,3.5480878,6.917079,3.1948395,0.44310334,-2.5953484,-0.5962003,0.91861105,-0.42936075,12.337972,-0.7510531,0.6788889,3.1677265,6.7007647,5.554499,2.5767112,3.2991788,2.4789972,-2.1979253,2.523819,1.6450733,5.0013185
10.jpg,7.191095,-5.090021,4.397344,6.36718,1.2960252,5.082679,17.647476,14.623783,15.994853,1.0180771,12.902074,16.970993,0.86589104,3.919531,14.023377,5.4163103,-5.115011,3.6092134,7.003579,10.296591,36.897587,5.0349283,4.1192737,-0.44325256,1.1279836,5.290975,7.3274226,4.9642997,19.050795,9.92215,-1.4294541,0.67936146,2.1257787,3.7355947,6.1518097,7.976158,-5.1325793,2.9005587,-1.6020447,3.6998677,2.2778506,12.715043,-2.23476,8.526608,2.3013725,7.54077,1.171152,4.3998175,4.527208
11.jpg,18.182373,1.5209272,11.000785,5.6562095,19.860872,12.897377,24.073936,11.522984,39.305176,7.886093,10.145833,21.833897,1.3614104,7.5340257,0.93832964,-1.0410013,8.022947,10.146475,1.2815505,4.453595,14.786665,3.1795337,0.26740086,4.1278634,2.996175,6.496914,6.3039994,4.2093134,3.5660603,0.783593,1.8223743,8.5483675,4.95318,6.2940516,3.3796017,-0.16041324,3.4584432,14.024117,12.728042,4.6099133,2.0900798,14.438714,1.1018336,7.461876,2.4885921,3.1728268,2.6989653,1.0503443,2.7942636
