image,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48
0.jpg,16.170443,0.0,23.548353,0.0,8.926927,1.989257,18.9589,14.694649,18.83849,9.974434,6.592455,30.460993,1.0433081,24.965878,5.2414875,3.0929694,5.6103444,13.691598,0.0,11.112312,8.433883,0.0,0.0,4.3412185,0.0,0.0,9.706221,11.949449,4.706753,0.6834083,1.3663303,4.7704077,0.0,2.139947,6.7043037,3.91923,2.3998547,0.0,0.6585691,3.5940099,1.7752019,13.625781,10.580998,3.6639552,0.0,0.0,2.767949,2.9008367,6.118559
1.jpg,3.8666308,7.303164,26.100632,5.968248,7.9145617,9.311726,31.530453,13.3736105,9.746567,10.534004,9.629178,9.505197,4.688903,7.728357,0.0,0.0,2.713899,2.3620088,11.949738,0.0,30.202007,13.651246,3.0596137,0.0,2.1357157,0.0,8.028107,1.7494295,11.057661,0.0,6.6844316,4.388173,2.2317667,1.2621597,5.4675007,0.57570934,0.0,6.9865522,3.8292224,1.8747009,2.6361792,7.3177733,2.73475,0.0,2.3642466,2.1188211,1.3603817,0.0,0.0
2.jpg,22.98507,5.4659886,6.718691,7.0512547,7.469576,12.184526,29.555645,14.670652,6.29146,13.586694,14.403185,25.787567,8.063268,5.1955476,2.2502482,0.0,12.458357,13.848487,5.503807,3.9464734,4.4929857,0.0,1.8900696,5.7459955,1.0561569,4.402012,1.0521272,7.416591,9.3221855,3.3753655,0.0,0.0,0.06910306,0.0,0.0,5.376492,0.0,1.8112298,3.159602,0.0,2.6047897,9.721315,5.0214763,1.4762063,6.511499,1.0968103,0.55642146,3.117279,2.2759314
3.jpg,34.63878,4.1229224,3.2116954,3.4902732,10.755932,0.0,11.239845,69.24929,2.6642907,4.602523,3.6766417,0.0,10.751469,10.266908,4.493154,0.0,0.0,9.263105,6.2292843,0.0,4.5583663,0.0,6.159734,0.0,0.59407604,0.0,4.252034,0.4493989,8.875706,2.7154362,0.0,1.6956587,1.5141348,0.18724562,0.32139924,0.22912729,1.0355864,0.0,11.976895,1.0610288,3.0103636,1.7753491,6.436902,9.899989,4.5140224,0.0,0.0,0.0,3.5650291
4.jpg,14.976247,0.0,2.8609424,8.734753,16.872969,0.0,3.0114856,22.928942,6.812031,9.545517,27.663258,14.469738,23.543713,36.417507,8.002562,0.0,19.699232,13.475829,0.047620617,0.0,5.3077087,0.0,3.2232676,1.1614819,0.0,4.1156297,2.238743,8.846541,6.6866794,6.7507744,0.0,4.812972,0.85326535,0.0,1.2571298,0.0,1.2102573,1.7609268,2.7918959,0.0,4.1045785,9.128638,4.4805684,4.9048343,4.491076,0.0,2.730478,0.0,2.7565992
5.jpg,10.555508,6.037103,19.735884,2.5165246,2.5826094,30.256554,33.297802,28.22663,4.1713347,15.536001,7.248086,6.879523,1.0267152,4.3249836,4.749481,0.0,3.6498237,1.920644,0.66928035,5.896703,4.44053,2.2281573,4.2655997,0.71411765,0.0,0.0,0.0,0.4128095,5.7416325,4.0061064,2.726229,3.7392373,4.2089877,0.6786493,0.0,0.29672316,0.0,0.0,2.30917,0.6120719,1.3454484,5.6366496,0.0,0.0,0.0,0.49196815,0.51823133,5.1935883,0.0
6.jpg,30.913347,0.0,11.281794,0.0,8.867759,15.943867,33.167713,20.272116,5.4033384,9.11551,4.2253027,8.429308,3.42291,12.139677,10.432559,1.9450237,4.619703,1.7906682,6.7937994,8.42579,36.25754,5.985374,0.91767085,4.338445,4.8574257,6.7852287,0.0,2.2099118,11.968089,1.4040276,5.977754,11.762455,4.932493,3.0837839,9.799438,0.7678293,2.6702337,6.536641,0.0,1.6948229,2.969246,4.820788,9.87362,1.9061074,0.6428745,0.8948555,5.1690526,0.0,3.4268112
7.jpg,11.062027,5.8339286,10.485946,5.8486524,35.172688,13.51672,29.074806,19.203312,15.045634,0.0,12.75545,22.058243,4.115976,6.1515703,2.0376983,0.0,2.5273297,7.175538,0.0,0.39342335,0.0,2.0428317,10.7840805,10.542396,0.5614008,0.8738216,1.4508206,5.879721,6.4219007,3.7790093,8.929265,9.184875,1.2756652,4.8799386,3.1180773,1.9265642,0.56395566,1.1592093,7.261415,3.9256475,0.11182493,13.737419,5.8730507,1.3171462,2.4247217,0.7876612,0.0,3.0607195,7.060136
8.jpg,9.717418,15.398865,13.834853,2.3070085,18.858517,12.376097,37.235676,20.707026,10.247719,12.528186,8.60022,6.8501053,5.795415,3.391362,0.0,0.387799,6.5178304,8.605966,1.446093,3.772372,12.1388855,6.185914,2.2849326,0.0,2.716776,4.4884562,1.0712277,1.7151564,14.036766,3.9712079,3.369365,7.222166,4.630379,1.6974089,0.0,0.020540226,0.0,3.083421,6.968045,0.0,2.2921762,9.058144,3.9949112,4.1541944,3.2298286,0.24348804,0.056606017,0.0,2.5495172
9.jpg,16.976866,1.7813271,20.698135,1.0774662,24.215952,27.524942,40.63757,5.968089,20.042849,0.0,2.954168,14.827778,8.449367,4.4613028,0.0,0.0,0.0,7.7552276,0.0,4.158031,4.9933887,6.035303,5.952851,3.2689464,3.8277254,5.2752266,1.1194719,0.0,5.4679093,0.495061,3.3822079,4.921218,3.2264404,2.8148413,1.6687762,1.9624485,4.1243825,5.4915204,2.7940245,1.780444,0.20218202,9.464488,4.6423254,1.9461175,0.0,3.5851486,0.0,0.0,0.9094831
