image,Entropy,Entropy Change,Weighted Entropy,gt
0.jpg,3.300750974745187,9.230562457460064,12.53131343220525,29
1.jpg,3.3051887372691637,9.028633929847436,12.3338226671166,42
2.jpg,3.3570850802642163,8.22525271140767,11.582337791671886,68
3.jpg,2.871839793125837,7.889863839228341,10.76170363235418,39
4.jpg,3.1998084136418536,7.4490351939174735,10.648843607559328,76
5.jpg,3.039157009977659,7.799531847889615,10.838688857867275,41
6.jpg,3.382199853458341,9.794763417065402,13.176963270523744,39
7.jpg,3.3439713528032464,8.443243342595299,11.787214695398545,40
8.jpg,3.358989313890873,8.755641611335882,12.114630925226756,33
9.jpg,3.192656727384356,9.134276787300871,12.326933514685228,33
10.jpg,3.212019971880298,8.929986647263116,12.142006619143414,52
11.jpg,2.9432222069654355,9.108763948492085,12.05198615545752,37
12.jpg,3.0493956617267792,9.909648519132366,12.959044180859143,61
13.jpg,3.0383656784990807,10.538640480306835,13.577006158805917,71
14.jpg,3.2278447425025214,7.444321166757652,10.672165909260173,44
15.jpg,3.3804020806145814,9.210555828904926,12.590957909519508,34
16.jpg,3.332173811702416,7.772767024782775,11.104940836485191,70
17.jpg,3.3456941671908598,9.009328491523226,12.355022658714084,52
18.jpg,3.2138788512435728,8.656242844972759,11.870121696216332,29
19.jpg,3.1410332179837206,10.260886798231098,13.401920016214818,27
20.jpg,2.9907783583843344,7.341416686465011,10.332195044849346,46
21.jpg,3.279793213918816,8.291527541535473,11.571320755454288,76
22.jpg,3.2368515097034645,7.998074427185613,11.234925936889075,51
23.jpg,3.060073955603487,8.331798576753405,11.391872532356892,47
24.jpg,3.409930185244721,9.013714215717354,12.423644400962075,52
25.jpg,3.261727707579724,9.733775077581804,12.995502785161529,66
26.jpg,3.188348472247825,9.533953125937463,12.72230159818529,31
27.jpg,3.2568803303492926,7.09541004718417,10.352290377533462,57
28.jpg,3.4829928971738355,8.77050749309286,12.253500390266694,73
29.jpg,3.124534563465027,7.63070702524181,10.755241588706836,65
30.jpg,3.2319231733627856,7.914369711942141,11.146292885304929,18
31.jpg,3.4205410931870146,8.761166175774534,12.18170726896155,24
32.jpg,3.025175633659191,9.032129323889516,12.057304957548704,35
33.jpg,3.344687179505487,7.348126591802907,10.692813771308394,26
34.jpg,3.232103297030291,8.25131831334709,11.48342161037738,80
35.jpg,3.286587806879677,9.070112865589431,12.356700672469108,38
36.jpg,3.3287753702229024,6.655060500365031,9.983835870587932,49
37.jpg,3.3156399977548565,8.212344819383118,11.527984817137972,85
38.jpg,3.157289534348016,8.004285771632233,11.161575305980248,48
39.jpg,3.50906035004912,9.239088818432103,12.748149168481223,0
40.jpg,3.471357060030443,7.005420922235018,10.47677798226546,62
41.jpg,3.26972472210316,7.293105698261404,10.562830420364564,69
42.jpg,3.205724446549054,7.51538208049214,10.721106527041194,90
43.jpg,3.220707837405598,10.567618865888043,13.788326703293642,31
44.jpg,3.1461910987607222,8.254848982983125,11.401040081743847,22
45.jpg,2.9307925715785017,10.586217927896165,13.517010499474669,23
46.jpg,3.416338908616387,7.970555200593473,11.38689410920986,24
47.jpg,2.97150022810642,8.180915622064518,11.152415850170938,25
48.jpg,3.4014180798607345,9.086061746119388,12.487479825980122,44
49.jpg,3.326358757566977,9.66152000869824,12.987878766265217,92
50.jpg,3.212977323494455,8.387591349039004,11.60056867253346,12
51.jpg,3.0734167382742275,8.25806141796947,11.331478156243698,15
52.jpg,3.092683623145505,7.130896840565901,10.223580463711407,40
53.jpg,3.1609811841251774,8.096990443251801,11.257971627376978,19
54.jpg,3.1970474472507835,8.152017931523512,11.349065378774297,64
55.jpg,3.2398425922826406,9.879455282892588,13.119297875175228,41
56.jpg,3.244766877263989,7.662520312591566,10.907287189855555,53
57.jpg,3.021317447791543,8.676771729883848,11.698089177675392,13
58.jpg,2.9342475669788444,8.66179343616324,11.596041003142084,23
59.jpg,3.152938855105782,7.950264536077654,11.103203391183436,43
60.jpg,2.881599035301423,8.86780801431144,11.749407049612865,11
61.jpg,2.8801656063607037,7.812754706364048,10.692920312724752,33
62.jpg,3.192178662330934,10.155174191109271,13.347352853440205,42
63.jpg,3.1681225640090958,8.706753105293933,11.874875669303028,40
64.jpg,3.356044308776676,7.430003694499256,10.786048003275932,82
65.jpg,3.248088921576922,9.473818576291864,12.721907497868786,5
66.jpg,3.1495556819265627,7.75855132550333,10.908107007429892,47
67.jpg,3.301941469099068,10.856427118697596,14.158368587796664,35
68.jpg,2.975525699280998,9.906661503752336,12.882187203033334,40
69.jpg,3.124306701044044,10.554769551683137,13.679076252727182,14
70.jpg,3.187836698867275,9.232925313320296,12.42076201218757,89
71.jpg,3.291315619739089,9.053649363784364,12.344964983523454,39
72.jpg,3.0266652066812822,8.973262012380681,11.999927219061965,19
73.jpg,3.298982199322229,6.627613684666456,9.926595883988686,58
74.jpg,3.055022417502551,10.152617564710464,13.207639982213015,31
75.jpg,2.9904121976404703,6.881304189155038,9.871716386795509,37
76.jpg,3.5123117794564744,8.18622003717681,11.698531816633285,17
77.jpg,3.177087862707677,7.640001573431977,10.817089436139652,7
78.jpg,3.3958131643353067,8.849522907662111,12.245336071997418,52
79.jpg,3.3407669256488246,10.032278509627142,13.373045435275966,27
80.jpg,2.995719922520844,8.837718531478515,11.83343845399936,43
81.jpg,3.098545643624401,8.725559059333522,11.824104702957923,78
82.jpg,3.0718056429579064,8.24484304760527,11.316648690563175,17
83.jpg,3.146129536274551,8.0745058286445,11.220635364919051,14
84.jpg,3.413450619131004,7.728902052943014,11.142352672074018,64
85.jpg,2.71906459246863,10.086503776812458,12.805568369281088,0
86.jpg,3.394898723751466,9.281037668776555,12.67593639252802,73
87.jpg,3.250175642626055,8.456571285944069,11.706746928570125,12
88.jpg,2.9249832856790565,10.29801080565032,13.222994091329376,56
89.jpg,3.237993159345067,8.182252508504908,11.420245667849974,12
90.jpg,3.1278284568663413,7.92065358544108,11.04848204230742,72
91.jpg,3.186095838688463,7.427079780289631,10.613175618978094,3
92.jpg,3.3475114775982435,9.193241455216798,12.540752932815042,40
93.jpg,3.169996141768642,7.662432870052775,10.832429011821416,31
94.jpg,3.276552991960646,8.890393260462716,12.166946252423362,36
95.jpg,3.406735174930017,10.31506431558376,13.721799490513778,71
96.jpg,3.245366588774102,8.943132535055868,12.18849912382997,56
97.jpg,3.416341686587036,8.657708650594673,12.07405033718171,70
98.jpg,3.263619992073314,8.491550050192727,11.75517004226604,30
99.jpg,3.294798577839242,9.317701723447591,12.612500301286833,12
100.jpg,3.1963989613696016,8.672275537940855,11.868674499310456,34
101.jpg,3.309554205992857,8.566760173953249,11.876314379946106,78
102.jpg,3.3870266064064403,8.914232903502935,12.301259509909377,39
103.jpg,3.151478995152866,7.278899736212966,10.430378731365831,66
104.jpg,2.872522676101965,8.247759475555705,11.12028215165767,67
105.jpg,3.4053351250048967,8.609824785866524,12.01515991087142,39
106.jpg,3.102602497577996,7.497009825856139,10.599612323434137,58
107.jpg,3.3259542371933097,8.465868392456558,11.791822629649868,55
108.jpg,3.094830265997245,10.392576633848185,13.48740689984543,39
109.jpg,3.1642864500300867,9.652177128236954,12.81646357826704,54
110.jpg,3.462838079677695,9.521455326213449,12.984293405891144,26
111.jpg,2.7964721684894784,6.741116520210814,9.537588688700293,39
112.jpg,3.2445299299642545,7.823768752041944,11.068298682006198,13
113.jpg,3.287142298068196,8.513227592000655,11.80036989006885,39
114.jpg,3.042865488988747,8.95255266722643,11.995418156215177,36
115.jpg,3.049477433775008,7.360303888032658,10.409781321807666,75
116.jpg,3.078990375273625,9.742143934469429,12.821134309743051,53
117.jpg,3.3915683089265665,8.861713880450257,12.253282189376822,100
118.jpg,3.113851052612957,8.289506599869702,11.403357652482658,19
119.jpg,3.25549389383916,7.215483253200872,10.470977147040031,58
120.jpg,3.1165246559803013,9.984996817705312,13.101521473685612,14
121.jpg,3.206854060500579,8.809490335178467,12.016344395679043,49
122.jpg,3.082680996660354,9.438458924597642,12.521139921257996,68
123.jpg,3.3372606965191385,8.060299792831751,11.397560489350887,44
124.jpg,3.3583808359268965,8.283595967705805,11.6419768036327,50
125.jpg,3.1630364255738623,9.8553511907716,13.018387616345462,46
126.jpg,3.186341176392844,9.10443035601829,12.290771532411132,71
127.jpg,3.008273195004465,7.201337130170599,10.209610325175063,36
128.jpg,3.354251062490837,7.206317760971073,10.56056882346191,50
129.jpg,3.1007700083627383,9.075391860683949,12.176161869046688,56
130.jpg,3.2356311102219992,8.428426485050098,11.664057595272098,39
131.jpg,3.291360156832148,8.488186439867343,11.779546596699491,23
132.jpg,3.2473764141235653,10.335734525658914,13.58311093978248,68
133.jpg,3.1243645016069723,7.274962633303252,10.399327134910225,45
134.jpg,3.1396586626692864,6.9979176441068605,10.137576306776149,63
135.jpg,3.0381689115085626,6.330319483018282,9.368488394526844,79
136.jpg,3.282542962570451,10.347640737127728,13.63018369969818,37
137.jpg,3.3111968075964016,10.228852417314338,13.54004922491074,36
138.jpg,3.2276176579541107,8.280387893933877,11.508005551887988,44
139.jpg,3.133561961333602,8.825327228393652,11.958889189727254,44
140.jpg,3.232025501501297,9.014543695812488,12.246569197313786,62
141.jpg,3.242616042799785,8.50822283728709,11.750838880086874,52
142.jpg,3.274349783821682,8.326330972863001,11.600680756684683,43
143.jpg,3.102468992724494,8.880700771458676,11.98316976418317,49
144.jpg,3.191416287682902,9.385039652094148,12.576455939777052,29
145.jpg,2.8808613547992072,9.067592086639335,11.94845344143854,30
146.jpg,3.0387230670815337,9.013780031290256,12.05250309837179,76
147.jpg,2.8633216489589968,8.307016362277158,11.170338011236154,24
148.jpg,3.292194342781314,9.086378225677834,12.378572568459148,0
149.jpg,3.0902430196471955,9.545315769354506,12.6355587890017,26
150.jpg,3.2680129408205034,8.207750619332785,11.475763560153288,12
151.jpg,3.336081072029288,8.54057016300809,11.876651235037375,33
152.jpg,3.236402020882181,8.187732241917415,11.424134262799596,28
153.jpg,3.2516454520092126,7.864529575330115,11.116175027339327,35
154.jpg,3.328172953189268,11.109133072184578,14.437306025373848,47
155.jpg,3.3560733226424238,8.37031969786957,11.726393020511994,44
156.jpg,2.3918251065793026,7.410680582205047,9.80250568878435,44
157.jpg,3.2125373147063025,10.558199357543728,13.770736672250033,11
158.jpg,3.225737626307934,8.578029754583,11.803767380890934,51
159.jpg,3.059221398104166,7.9984275402051646,11.057648938309333,19
160.jpg,3.314422398222313,10.02030300573744,13.334725403959752,63
161.jpg,3.334340369414262,6.844122137754358,10.17846250716862,65
162.jpg,3.29299273808285,10.555935303552989,13.84892804163584,45
163.jpg,3.179924027766882,7.834748056724698,11.01467208449158,82
164.jpg,3.25338523473183,8.906125619762067,12.159510854493895,75
165.jpg,3.139664917134398,7.846927146888023,10.98659206402242,24
166.jpg,2.9891344492476626,10.243412739988,13.232547189235664,16
167.jpg,3.019540102662698,8.611978625411941,11.63151872807464,59
168.jpg,3.1668426377628816,8.712354079219583,11.879196716982465,64
169.jpg,2.848842321233095,11.004752176471358,13.853594497704451,21
170.jpg,3.132521567321946,7.69282439823265,10.825345965554597,23
171.jpg,3.219749059462072,8.848461998539657,12.06821105800173,49
172.jpg,3.074578106750141,9.705102194389188,12.77968030113933,66
173.jpg,3.3052608922123508,8.28090819704306,11.58616908925541,27
174.jpg,3.1346370784471382,8.00206611676096,11.136703195208096,29
175.jpg,3.4534540316569293,6.725491524610593,10.178945556267522,32
176.jpg,3.203423236397703,8.555558689182122,11.758981925579825,33
177.jpg,3.20110066667443,7.125487063926564,10.326587730600997,67
178.jpg,3.056557520773157,8.355609785314574,11.412167306087731,9
179.jpg,3.393647160174761,9.979501167372836,13.373148327547598,15
180.jpg,3.274882256230746,9.098662272423775,12.37354452865452,11
181.jpg,3.4432446786901223,8.445662256271664,11.888906934961788,75
182.jpg,2.9080861580681643,10.496503878235016,13.40459003630318,10
183.jpg,3.118808552282668,9.457920631115805,12.576729183398472,45
184.jpg,3.2730542150285302,7.318159991847648,10.591214206876176,86
185.jpg,3.1113198168428737,9.26659077195356,12.377910588796434,59
186.jpg,3.1829481239262645,7.122037677155143,10.304985801081408,87
187.jpg,3.009596518208764,8.206152892629332,11.215749410838097,26
188.jpg,3.1432288299666795,8.101796644598316,11.245025474564995,19
189.jpg,3.385400877897021,9.456655580957522,12.842056458854543,36
190.jpg,3.2550045455525662,8.265009716830921,11.520014262383487,81
191.jpg,3.252470170098548,8.019075179944407,11.271545350042954,45
192.jpg,3.153331753486213,9.60782213992472,12.761153893410931,46
193.jpg,3.2283650002426008,8.142829368233752,11.371194368476353,40
194.jpg,2.8232551421277483,10.671133113611493,13.494388255739242,24
