image,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48
0.png,-0.83678436,20.765827,16.488514,-2.0483196,3.983985,9.507311,14.973782,8.065104,6.864639,16.014988,3.7425241,9.572312,6.6341243,3.133918,3.8048935,6.5673084,5.8488955,9.423779,10.822901,-4.0855446,14.056429,7.355991,-0.69149196,-3.0991495,36.546455,-0.25680774,6.340921,5.1993327,-1.4920007,-3.1448164,-0.7799852,-0.5739793,-0.80623806,-3.511443,10.472033,1.8075873,7.0668845,-1.3137387,5.792755,6.5191345,4.0908566,-0.8687557,-1.2752924,0.11261408,13.4818945,7.433217,1.840252,5.5763493,-1.3244035
1.png,16.6957,4.026792,8.396025,7.0405765,0.05408507,-4.166566,-5.616332,2.4034185,-0.25601202,11.230896,19.633303,11.460957,23.920021,28.361023,4.080252,0.49301627,3.13636,26.04805,2.6792328,2.1640136,-2.5140636,-6.785533,7.1520224,-3.1480155,0.28534484,-0.8314113,-1.5718148,1.0531945,-0.009273784,10.320528,-3.8590941,-3.5332513,-0.39313427,0.44316983,-1.4366593,-4.270368,-5.2806897,2.5045936,-0.5606626,1.8820271,3.536046,-2.018916,0.0010492979,-0.7634163,0.13417415,-3.3308156,-0.035513237,-1.6364117,-1.4921684
2.png,8.614353,1.9717921,-0.64141506,-0.1755884,7.4795513,6.7627287,7.3663244,14.822015,5.16683,10.045449,14.93361,7.967966,6.0377455,13.25594,4.4751687,1.4005105,11.4974785,25.1569,0.1659804,1.0903074,8.720578,2.1333885,2.6778054,2.5626767,3.3183832,5.6133714,6.773406,6.9409804,8.32757,4.884822,-0.69937724,-0.7797824,0.65891176,-3.609474,-1.6568415,13.428155,3.0433395,-7.1940875,-0.46553585,-1.1842922,-1.706011,7.110153,2.115176,-2.31153,2.6423516,1.7998306,5.3838124,-1.0425357,2.4959722
3.png,13.648075,9.427463,5.51351,3.1184363,8.297637,0.42314744,-1.2756183,9.052473,-5.5417275,1.0267562,19.041506,-2.0347934,19.23603,15.856012,22.544107,6.15044,8.83913,22.469069,-0.4616885,1.60619,6.983715,5.697504,11.836219,-1.8850154,5.7113566,-1.3103759,14.639271,11.1895485,6.5520105,6.5501056,-0.35077393,2.3472643,-2.793719,3.7683249,3.7880864,6.2969313,0.4233453,0.7245458,3.4111433,3.5951946,-3.441484,2.4927804,-0.6737931,3.441216,-0.104440466,4.0721254,2.7414517,1.910701,8.253504
4.png,10.6593685,10.200238,0.6349068,4.7140927,10.460901,3.4562595,4.8803678,6.69162,5.189296,1.5620403,7.7108793,17.727463,27.529537,-0.73183644,-1.4044683,-1.4283085,9.391067,22.295547,3.1890202,2.6043425,4.5962534,4.4957733,5.7995687,1.1590228,2.401676,8.510738,2.799427,5.9881687,7.3555574,2.6237607,0.89178383,2.747083,2.5000865,1.6854727,-0.10794836,3.9789903,0.29648226,1.5453007,-0.096696615,5.253095,-3.8253922,4.237538,2.3483877,-3.7476058,-0.6325988,-0.3264701,-0.38879988,-0.27302644,1.8033319
5.png,6.970668,9.897564,3.4946096,9.5359955,3.3744943,10.15352,6.151305,2.7268653,-3.082775,12.129177,12.919622,16.07502,11.790148,8.736561,3.9833486,2.2928295,4.4541554,23.702232,7.401253,-1.3974094,3.8343806,1.447582,5.507098,5.4030623,6.85975,1.5778117,3.310657,1.4838332,4.21457,5.200262,-1.3048519,-6.750888,0.17542355,-3.5973303,-0.31183568,1.0938953,-1.1024996,-4.7670007,7.193417,2.1166556,-2.73327,0.91657835,6.4601274,-3.6594684,10.217577,-5.4951777,1.6509585,4.2018304,2.2447999
6.png,7.815385,6.773162,2.340196,4.567019,12.751472,-4.9998746,6.431148,7.1559668,2.0853353,0.8448849,14.049296,1.3440444,22.556868,5.9541125,8.089388,4.3988433,4.660206,26.685534,-0.63410795,9.592299,10.883398,3.7108593,5.5808043,-7.1783743,1.2786506,4.767015,0.08448232,0.073045954,9.503806,0.80271363,6.228052,11.100313,4.4451127,11.705206,-5.2847733,7.9008794,-0.033628896,2.812477,0.713734,6.3191876,1.8774835,6.219517,-0.7444704,-2.2073216,0.6998695,2.112417,5.7626677,-0.87386084,1.2084483
7.png,2.9165463,3.9445565,13.076804,3.2187576,-2.778573,4.8795757,8.358615,1.0241961,4.332332,10.535317,9.862404,15.121005,7.0410967,7.125408,-2.4198165,2.7996306,6.7045302,17.27424,4.3341064,3.6105678,5.9395237,6.722752,6.0522738,-0.0036707148,13.19441,0.47591662,12.637088,2.4831202,1.1853906,-0.30517614,11.684201,3.9785407,4.421287,0.66763145,14.35577,1.4333024,4.584437,-1.5940256,-0.8533322,10.124715,10.782921,4.1988926,1.4644197,3.7069387,13.775804,23.873411,2.156619,-0.46151456,1.1995159
8.png,0.15186518,3.574672,17.500416,10.325907,2.9616036,14.744994,4.3007903,5.82566,3.833751,17.596966,0.29777253,10.445131,2.2485607,7.0983114,-1.3260272,-3.741036,5.07746,18.712776,-0.2679551,1.9343216,10.245836,3.8520553,3.0237236,-0.73024046,6.6809974,3.1126904,14.269231,2.9689848,0.34486538,0.98490995,6.087091,1.1394581,-2.3975317,-2.2478204,22.751167,3.6949,6.309682,-3.5572336,-1.1528322,8.513546,4.1080346,3.0521235,4.098248,4.72935,2.5742345,14.798902,7.005983,1.6381357,2.6267781
9.png,9.749473,1.3292894,36.373863,3.1816273,3.938853,0.25742397,0.07424427,7.024156,-7.5517597,6.7972302,10.07379,4.897466,11.998902,7.4492874,-4.0015807,0.006656535,7.03559,22.768158,0.65692526,-2.5509138,42.580517,1.8473886,-0.7491362,1.178032,4.3394513,-4.7224965,8.712703,2.3056831,12.659685,-0.7621419,0.33555236,3.1224654,0.9931861,0.577233,8.697542,1.9846394,-0.81248826,-0.2408173,4.1147265,1.0962242,-1.5844603,6.9208846,-2.8586428,1.1556832,1.4678733,1.8610258,2.580372,3.0877912,2.2844546
